Name,Mass (solar mass),Accretion rate (g.s-1),Mdot (solarmass/year),ERD (erg.s-1.g-1) Assuming 2.3E-4 accretion efficiency,Power density (W.kg-1)
2325+8205,0.75,1.05E+17,1.67E-09,1.45E+01,1.45E-03
AB Dra,0.8,1.1E+17,1.75E-09,1.43E+01,1.43E-03
AH Her,0.95,1.7E+17,2.70E-09,1.86E+01,1.86E-03
AM Cas,0.55,9.5E+16,1.51E-09,1.79E+01,1.79E-03
AQ Eri,0.65,1.4E+16,2.22E-10,2.24E+00,2.24E-04
AR And,0.75,1E+17,1.59E-09,1.38E+01,1.38E-03
AT Ara,0.53,1.6E+18,2.54E-08,3.13E+02,3.13E-02
AT Cnc,0.75,2E+17,3.17E-09,2.77E+01,2.77E-03
AY Lyr,0.75,4E+16,6.35E-10,5.54E+00,5.54E-04
BD Pav,1.15,7E+15,1.11E-10,6.32E-01,6.32E-05
BF Ara,0.67,7.5E+16,1.19E-09,1.16E+01,1.16E-03
BF Eri,1.28,1.6E+16,2.54E-10,1.30E+00,1.30E-04
BI Ori,0.75,5E+16,7.93E-10,6.92E+00,6.92E-04
BV Cen,1.24,1.35E+17,2.14E-09,1.13E+01,1.13E-03
BV Pup,0.75,1.75E+17,2.78E-09,2.42E+01,2.42E-03
BX Pup,0.75,9E+16,1.43E-09,1.25E+01,1.25E-03
BZ UMa,0.76,3.6E+15,5.71E-11,4.92E-01,4.92E-05
CH UMa,1.26,1E+16,1.59E-10,8.24E-01,8.24E-05
CN Ori,0.74,1E+18,1.59E-08,1.40E+02,1.40E-02
CW Mon,0.75,4E+16,6.35E-10,5.54E+00,5.54E-04
CY Lyr,0.75,1.7E+17,2.70E-09,2.35E+01,2.35E-03
CY UMa,0.69,1.05E+16,1.67E-10,1.58E+00,1.58E-04
CZ Ori,0.55,2.3E+17,3.65E-09,4.34E+01,4.34E-03
DI UMa,0.75,2.2E+16,3.49E-10,3.04E+00,3.04E-04
DO Dra,0.83,2.1E+15,3.33E-11,2.63E-01,2.63E-05
DX And,0.75,1.3E+17,2.06E-09,1.80E+01,1.80E-03
EI Psc,0.65,500000000000000,7.93E-12,7.98E-02,7.98E-06
EM Cyg,1,1.05E+18,1.67E-08,1.09E+02,1.09E-02
ER UMa,0.73,9E+16,1.43E-09,1.28E+01,1.28E-03
ES Dra,0.58,5E+16,7.93E-10,8.95E+00,8.95E-04
EY Cyg,1.1,1.65E+16,2.62E-10,1.56E+00,1.56E-04
EZ Lyn,0.75,250000000000000,3.97E-12,3.46E-02,3.46E-06
FH Lyn,0.75,1.1E+16,1.75E-10,1.52E+00,1.52E-04
FO And,0.75,3.3E+16,5.24E-10,4.57E+00,4.57E-04
FO Aql,0.55,4E+16,6.35E-10,7.55E+00,7.55E-04
FO Per,0.4,3.6E+17,5.71E-09,9.34E+01,9.34E-03
FS Aur,0.55,2.2E+16,3.49E-10,4.15E+00,4.15E-04
FT Cam,0.75,125000000000000,1.98E-12,1.73E-02,1.73E-06
GD 552,0.77,70000000000000,1.11E-12,9.43E-03,9.43E-07
GY Cnc,0.99,1.3E+16,2.06E-10,1.36E+00,1.36E-04
HL CMa,0.83,1.75E+17,2.78E-09,2.19E+01,2.19E-03
HM Leo,0.75,2.85E+15,4.52E-11,3.94E-01,3.94E-05
HS Vir,0.68,2.9E+15,4.60E-11,4.43E-01,4.43E-05
HW Boo,0.75,1.15E+15,1.82E-11,1.59E-01,1.59E-05
HX Peg,0.75,1.5E+17,2.38E-09,2.08E+01,2.08E-03
IR Gem,0.69,7.5E+15,1.19E-10,1.13E+00,1.13E-04
IX Dra,1.4,1.1E+16,1.75E-10,8.15E-01,8.15E-05
KS UMa,0.94,2.25E+15,3.57E-11,2.48E-01,2.48E-05
KT Per,0.75,9.5E+16,1.51E-09,1.31E+01,1.31E-03
KV Dra,0.71,3E+15,4.76E-11,4.39E-01,4.39E-05
LL Lyr,0.75,9E+16,1.43E-09,1.25E+01,1.25E-03
LX And,0.75,8.5E+16,1.35E-09,1.18E+01,1.18E-03
NY Ser,0.81,3.35E+16,5.31E-10,4.29E+00,4.29E-04
OU Vir,0.7,1.4E+16,2.22E-10,2.08E+00,2.08E-04
PU CMa,0.46,2.45E+15,3.89E-11,5.53E-01,5.53E-05
PY Per,0.75,1.25E+16,1.98E-10,1.73E+00,1.73E-04
QW Ser,0.85,2.65E+16,4.20E-10,3.24E+00,3.24E-04
QZ Ser,0.75,6E+15,9.52E-11,8.30E-01,8.30E-05
QZ Vir,0.71,5.5E+16,8.73E-10,8.04E+00,8.04E-04
RU LMi,0.75,2E+16,3.17E-10,2.77E+00,2.77E-04
RU Peg,1.06,1.2E+17,1.90E-09,1.17E+01,1.17E-03
RX And,1.14,6.5E+16,1.03E-09,5.92E+00,5.92E-04
RY Ser,0.75,5E+16,7.93E-10,6.92E+00,6.92E-04
RZ LMi,1,2.05E+16,3.25E-10,2.13E+00,2.13E-04
SS Aur,1.08,5E+16,7.93E-10,4.80E+00,4.80E-04
SS Cyg,0.81,2.2E+17,3.49E-09,2.82E+01,2.82E-03
SS UMi,0.66,1.2E+16,1.90E-10,1.89E+00,1.89E-04
ST Cha,0.75,7E+17,1.11E-08,9.69E+01,9.69E-03
SU UMa,0.68,2.85E+16,4.52E-10,4.35E+00,4.35E-04
SV CMi,0.75,7.5E+16,1.19E-09,1.04E+01,1.04E-03
SW UMa,0.71,9E+15,1.43E-10,1.32E+00,1.32E-04
SX LMi,0.67,3.2E+15,5.08E-11,4.96E-01,4.96E-05
SY Cnc,0.75,1.5E+18,2.38E-08,2.08E+02,2.08E-02
TT Crt,1,2.05E+16,3.25E-10,2.13E+00,2.13E-04
TW Tri,0.75,1.15E+17,1.82E-09,1.59E+01,1.59E-03
TW Vir,0.91,3.5E+16,5.55E-10,3.99E+00,3.99E-04
TY PsA,0.87,1.5E+16,2.38E-10,1.79E+00,1.79E-04
TY Psc,0.7,4E+16,6.35E-10,5.93E+00,5.93E-04
TZ Per,0.75,7.5E+17,1.19E-08,1.04E+02,1.04E-02
U Gem,1.17,4.5E+16,7.14E-10,3.99E+00,3.99E-04
UY Pup,0.75,1.15E+17,1.82E-09,1.59E+01,1.59E-03
V1159 Ori,0.72,8.5E+16,1.35E-09,1.23E+01,1.23E-03
V1316 Cyg,0.72,2.6E+17,4.12E-09,3.75E+01,3.75E-03
V1454 Cyg,0.75,55000000000000,8.73E-13,7.61E-03,7.61E-07
V1504 Cyg,0.67,8.5E+15,1.35E-10,1.32E+00,1.32E-04
V342 Cam,0.75,1.2E+15,1.90E-11,1.66E-01,1.66E-05
V355 UMa,0.75,5.5E+15,8.73E-11,7.61E-01,7.61E-05
V392 Hya,0.75,1.3E+17,2.06E-09,1.80E+01,1.80E-03
V426 Oph,0.9,5.5E+16,8.73E-10,6.34E+00,6.34E-04
V478 Her,0.75,2E+17,3.17E-09,2.77E+01,2.77E-03
V503 Cyg,0.73,3.35E+16,5.31E-10,4.76E+00,4.76E-04
V513 Peg,0.75,2.3E+16,3.65E-10,3.18E+00,3.18E-04
V516 Cyg,0.75,5E+17,7.93E-09,6.92E+01,6.92E-03
V521 Peg,0.75,3.5E+15,5.55E-11,4.84E-01,4.84E-05
V537 Peg,0.75,1.05E+17,1.67E-09,1.45E+01,1.45E-03
V630 Cas,1.01,7.5E+18,1.19E-07,7.71E+02,7.71E-02
V713 Cep,0.75,130000000000000,2.06E-12,1.80E-02,1.80E-06
V729 Sgr,0.75,2.05E+16,3.25E-10,2.84E+00,2.84E-04
V792 Cyg,0.75,2.55E+17,4.05E-09,3.53E+01,3.53E-03
V811 Cyg,0.75,2.1E+16,3.33E-10,2.91E+00,2.91E-04
V844 Her,0.46,1.05E+16,1.67E-10,2.37E+00,2.37E-04
V893 Sco,0.89,7.5E+15,1.19E-10,8.75E-01,8.75E-05
VW Hyi,0.67,3.1E+16,4.92E-10,4.80E+00,4.80E-04
VW Vul,0.35,1.95E+17,3.09E-09,5.78E+01,5.78E-03
VZ Pyx,0.8,1.5E+16,2.38E-10,1.95E+00,1.95E-04
WW Cet,0.83,4E+16,6.35E-10,5.00E+00,5.00E-04
WX Hyi,0.9,1.85E+16,2.94E-10,2.13E+00,2.13E-04
X Leo,1.03,5.5E+16,8.73E-10,5.54E+00,5.54E-04
YZ Cnc,0.82,4.5E+16,7.14E-10,5.70E+00,5.70E-04
Z Cam,0.99,2.4E+17,3.81E-09,2.52E+01,2.52E-03
AE Aqr,0.63,1.1E+17,1.75E-09,1.81E+01,1.81E-03
BG CMi,0.8,2E+17,3.17E-09,2.59E+01,2.59E-03
BK Lyn,0.41,6.5E+16,1.03E-09,1.65E+01,1.65E-03
FO Aqr,0.75,8.5E+17,1.35E-08,1.18E+02,1.18E-02
IX Vel,0.82,3.5E+17,5.55E-09,4.43E+01,4.43E-03
LQ Peg,0.75,1.45E+18,2.30E-08,2.01E+02,2.01E-02
MV Lyr,0.73,4.5E+17,7.14E-09,6.40E+01,6.40E-03
RR Pic,0.95,1E+19,1.59E-07,1.09E+03,1.09E-01
RW Sex,0.9,7E+17,1.11E-08,8.07E+01,8.07E-03
RW Tri,0.55,1E+18,1.59E-08,1.89E+02,1.89E-02
TT Ari,0.9,7E+17,1.11E-08,8.07E+01,8.07E-03
TV Col,0.75,7.5E+17,1.19E-08,1.04E+02,1.04E-02
TX Col,0.54,1.2E+18,1.90E-08,2.31E+02,2.31E-02
UX UMa,0.9,4E+17,6.35E-09,4.61E+01,4.61E-03
V1084 Her,0.75,4E+17,6.35E-09,5.54E+01,5.54E-03
V1223 Sgr,0.93,5.5E+17,8.73E-09,6.14E+01,6.14E-03
V3885 Sgr,0.7,1.05E+18,1.67E-08,1.56E+02,1.56E-02
V592 Cas,0.81,9.5E+17,1.51E-08,1.22E+02,1.22E-02
V603 Aql,1.2,2.4E+17,3.81E-09,2.08E+01,2.08E-03
V795 Her,0.69,4.6E+18,7.30E-08,6.92E+02,6.92E-02
AVERAGE,0.7858461538,3.61156E+17,5.73E-09,4.74E+01,4.74E-03